Symbol,Name
AAL,American Airlines
AAPL,Apple
ABNB,Airbnb
ACB,Aurora Cannabis
AMD,Advanced Micro Devices
AMZN,Amazon
AN,AutoNation
APHA,Aphria
BA,Boeing
BABA,Alibaba Group
BB,BlackBerry
CPRX,Catalyst Pharmaceuticals
CRON,Cronos Group
DAL,Delta Air Lines
DIS,Disney
DKNG,DraftKings
ET,Energy Transfer LP
F,Ford Motor
FB,Facebook
FUBO,FuboTV
GE,General Electric
GM,General Motors
GOOGL,Alphabet
HEXO,HEXO Corp.
JBLU,JetBlue Airways
JNJ,Johnson & Johnson
KO,Coca-Cola
LUV,Southwest Airlines
MGM,MGM Resorts
MRNA,Moderna
MSFT,Microsoft
NFLX,Netflix
NKE,Nike
NOK,Nokia
NRZ,New Residential Investment
NVDA,NVIDIA
PENN,Penn National Gaming
PFE,Pfizer
PLTR,Palantir
PSEC,Prospect Capital
PYPL,PayPal
RCL,Royal Caribbean Cruises
SAVE,Spirit Airlines
SBUX,Starbucks
SIRI,Sirius XM
SNAP,Snap
SNE,Sony
SQ,Square
T,AT&T
TLRY,Tilray
TSLA,Tesla
TWTR,Twitter
UAL,United Airlines
UBER,Uber Technologies
WMT,Walmart
XOM,Exxon Mobil
ZM,Zoom Video Communications
ZNGA,Zynga Inc.
